RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15629956,Garcia,704,France,Male,20,1.0,42173.9701176854,3,0,1,30089.17218861914,1
2,15148882,Smith,684,unknown,Female,65,10.0,73452.68668983283,3,99,0,3510.0375926786805,1
3,15620423,Brown,830,France,Male,27,9.0,162509.47013517367,2,0,1,152270.45960348978,0
4,15666649,Jones,309,Spain,Female,27,6.0,42106.65031127962,4,0,0,88705.20077156738,1
5,15414526,Lee,477,France,other,33,9.0,195514.8491054049,3,99,1,1672.4191076623886,1
6,15977766,Garcia,617,Germany,Female,54,2.0,166390.3904702314,2,99,1,130071.49965890581,1
7,15747579,Muller,363,France,Female,23,0.0,176454.60717483028,3,99,1,187269.20728240587,0
8,15586397,Muller,531,Spain,other,54,6.0,123574.16386702517,1,99,1,176967.4826229142,1
9,15021994,Smith,695,unknown,other,58,8.0,17324.910727593528,1,0,0,124247.00378097962,0
10,15466943,Garcia,736,France,other,60,2.0,52896.59489473392,4,99,1,158050.40554174696,1
11,15652794,Kim,436,Germany,Female,35,7.0,73784.98601529816,1,0,1,186115.607132965,1
12,15646624,Jones,608,Germany,other,42,,210269.99644671445,1,99,0,117364.39711719997,1
13,15728409,Muller,471,Germany,Male,42,0.0,16143.421045426823,2,99,0,157227.68067913872,0
14,15362020,Williams,576,France,Male,45,9.0,27937.43338234591,1,1,1,153670.5584775538,0
15,15702930,Williams,516,unknown,Female,40,6.0,96887.43526140883,4,1,0,126092.31314556788,1
16,15101417,Williams,604,Germany,other,55,1.0,38875.95964672446,1,1,0,33224.22638587663,0
17,15178425,Jones,445,unknown,other,66,,229384.7156949444,1,1,0,43786.59047291037,1
18,15943530,Kim,817,Spain,Male,28,6.0,175460.63443063566,4,0,1,126755.2050735889,1
19,15376721,Williams,619,Germany,Male,67,3.0,31032.259827765385,1,99,0,6130.843659268522,1
20,15018482,Muller,835,Germany,Male,52,1.0,185467.3629625461,4,1,0,153198.17979596424,1
21,15937327,Brown,545,Spain,other,22,7.0,78259.1063043748,2,1,1,67724.7903550408,1
22,15858079,Muller,725,unknown,Male,44,1.0,217626.34014469985,4,0,0,119908.36317230081,0
23,15537625,Jones,837,Germany,Female,40,3.0,85444.32044915017,2,1,1,68133.51769717339,0
24,15654182,,657,Germany,Female,18,8.0,14558.364378594977,2,1,0,122846.55966761879,0
25,15935938,Garcia,305,Spain,Female,32,0.0,26489.001288119536,3,1,0,14210.901181859703,0
26,15042338,Garcia,467,Spain,other,27,1.0,57473.44842226272,1,1,1,109179.71643334575,0
27,15069503,Garcia,625,France,Female,66,7.0,95784.47293365034,3,1,0,120508.67813429626,0
28,15184419,Muller,536,Germany,Female,37,4.0,230588.9483550654,4,99,0,85305.13880059848,0
29,15456690,Muller,399,unknown,Male,64,9.0,154160.46625766729,2,0,1,146055.17174923274,0
30,15513272,Smith,697,Germany,other,39,0.0,76004.40946563789,3,0,0,71875.19217198207,1
31,15900109,Smith,735,unknown,other,20,10.0,79133.61500126253,4,99,0,135946.30279538184,1
32,15075548,Jones,508,unknown,Female,39,9.0,32702.05488208894,1,99,0,31377.90964914581,0
33,15954210,Lee,382,Germany,other,19,8.0,161147.18614462455,3,99,0,150423.35153755092,0
34,15835105,Muller,338,Spain,other,67,6.0,110255.5260973685,2,0,0,157512.6160685659,0
35,15096799,Lee,350,Germany,Male,36,7.0,50905.92533113873,3,99,1,71340.61792482185,1
36,15428174,Muller,373,Germany,Female,51,1.0,183556.35911966008,1,99,1,49025.162528790745,0
37,15741003,Smith,452,Spain,Male,43,5.0,42431.94228711301,4,1,0,111512.80659809554,1
38,15512798,Brown,513,unknown,Male,42,9.0,126094.8815086199,4,1,1,102345.88603296189,0
39,15103347,Kim,315,Spain,other,34,2.0,204419.7555730151,4,99,1,136256.36990542038,0
40,15831463,Brown,724,Spain,Female,47,3.0,79452.30082403705,3,99,1,136290.78907080274,0
41,15671357,Muller,776,France,other,25,0.0,92151.05581349187,1,0,0,151683.14374068947,1
42,15698223,Muller,767,unknown,Male,52,7.0,137540.93784698824,4,0,0,169230.53812037056,1
43,15272085,Smith,309,Spain,Male,67,5.0,181990.02388681992,2,99,1,20274.653922882888,1
44,15107394,Brown,651,Spain,Male,47,9.0,52630.56797513669,4,1,0,132669.35867311707,1
45,15251954,Jones,453,Germany,Female,67,8.0,13116.518359581574,3,99,1,50737.149605055856,0
46,15475661,Lee,649,unknown,Female,42,6.0,128313.67888875582,1,0,0,50520.44715387534,1
47,15396689,Muller,524,unknown,Male,49,5.0,148240.23262378242,3,99,0,111730.85123993477,0
48,15563726,Garcia,482,France,Female,19,4.0,243021.26199022582,3,1,0,15382.42014266074,1
49,15544260,Muller,448,unknown,Female,62,7.0,89062.7443723628,1,0,1,79421.63411237895,1
50,15132478,Lee,753,Germany,Male,41,4.0,94048.08358698945,3,99,1,167870.10595536075,0
51,15060971,Muller,502,Germany,other,42,1.0,95555.48079478861,2,1,1,121968.52595593041,1
52,15559531,Kim,303,Spain,Male,21,0.0,60900.10949334358,4,0,1,60533.77139476807,0
53,15096270,Williams,766,Spain,other,39,10.0,63403.423895838176,4,1,1,52608.231908444795,1
54,15698081,Williams,484,Germany,other,46,3.0,25080.312304565883,1,0,1,125750.33876970422,0
55,15247733,Brown,331,unknown,Female,68,4.0,165246.8306245983,4,1,0,116194.30119235767,0
56,15851330,Smith,382,unknown,Female,21,5.0,77891.55535133008,1,1,1,9795.255696774368,1
57,15011856,Smith,809,Spain,Male,48,2.0,41793.15171350636,2,1,1,95207.42424397395,0
58,15512566,Williams,506,France,Male,26,6.0,127318.74681137246,1,99,0,73981.05845117768,1
59,15044263,Williams,850,France,other,64,9.0,143975.04811284886,3,0,1,109552.54483274456,0
60,15317162,Jones,775,France,Male,20,8.0,73579.56320174751,4,99,0,134372.82551222533,0
61,15804292,Williams,761,Germany,Female,43,0.0,207607.09655465733,1,0,1,191239.5008245775,1
62,15447161,Garcia,444,Spain,other,28,0.0,139990.39651479386,4,0,1,98995.89635585557,1
63,15431330,Brown,646,unknown,Female,62,7.0,91765.58339273771,4,99,1,39555.55175980288,0
64,15604092,,368,Spain,Female,61,8.0,155135.03740229498,4,0,1,16445.382223966073,0
65,15599620,Kim,416,France,other,64,9.0,35138.96024057191,4,0,0,58491.14539527847,0
66,15935492,Muller,587,Spain,other,61,1.0,74170.4319641993,4,99,0,12587.495761584238,0
67,15133972,Brown,707,Germany,other,45,10.0,200036.84505228876,4,1,1,136003.95993884184,1
68,15291205,Muller,329,France,Male,54,9.0,115419.40199766344,1,1,1,195462.55395732998,0
69,15534460,Smith,370,Germany,Female,46,6.0,52084.636995972614,2,99,1,24917.437232551183,0
70,15265738,Garcia,617,unknown,other,63,8.0,,4,1,1,179002.31669447004,0
71,15514179,Kim,493,unknown,Female,65,1.0,181041.5007987679,3,1,0,101673.62051369541,1
72,15158676,Lee,696,France,Female,47,7.0,153483.89404159464,3,0,0,,1
73,15856605,Jones,301,France,Male,41,7.0,166825.7607248745,4,0,1,106861.51978457303,0
74,15100388,Muller,754,Spain,Female,58,9.0,114224.92053594161,4,99,0,81474.09944307929,0
75,15181714,Brown,699,France,other,27,9.0,239578.01634124952,1,99,0,7390.005593739982,1
76,15379042,Garcia,695,France,Male,19,0.0,242081.96347082176,3,0,1,26907.874326353423,1
77,15470981,Williams,784,Spain,Male,46,8.0,89627.48146877887,1,0,0,138132.44757695164,0
78,15092357,Lee,686,unknown,Male,51,9.0,138024.64220948718,2,1,0,80413.14265438913,0
79,15127040,Jones,568,Spain,other,23,7.0,45973.732455224774,1,0,0,190264.72154884035,1
80,15983683,Jones,523,unknown,Male,37,1.0,212642.08176548377,3,1,0,33331.197776662826,0
81,15292629,Brown,805,France,Female,34,8.0,174623.80276474275,4,99,1,26840.23809025035,0
82,15451657,Kim,436,unknown,Female,58,7.0,18774.136476422907,2,0,0,79507.91049699852,0
83,15826293,Williams,792,France,Female,33,10.0,179322.23333702394,1,0,1,75743.93863520618,1
84,15007748,Lee,542,unknown,Male,46,5.0,105262.70135383931,2,99,1,124519.08251345473,1
85,15393868,Williams,677,France,Female,49,7.0,114091.7530813338,4,0,0,143889.76201411962,0
86,15495943,Jones,772,Spain,other,23,7.0,213468.56597150472,3,99,1,186444.54706754835,0
87,15855276,Smith,726,Spain,other,19,1.0,,2,0,0,,1
88,15544760,Lee,810,France,Male,18,10.0,107810.875544234,2,0,0,148496.51326960017,1
89,15915502,Lee,694,Germany,Male,33,2.0,181204.47443688917,4,99,0,22221.761516851373,0
90,15299370,Garcia,818,unknown,other,35,4.0,173155.96996968807,4,1,1,81936.12090263785,0
91,15086108,Muller,667,Spain,Female,49,2.0,239673.3942651979,2,0,1,154179.66441055783,0
92,15820194,Kim,706,France,Female,58,6.0,38753.8906583696,3,0,1,164603.8345559532,1
93,15525266,Smith,461,Germany,Female,55,3.0,149019.38805317032,1,0,0,125167.00942243387,1
94,15856289,Lee,828,Germany,Female,47,1.0,246031.3929913328,4,1,0,74002.29610239033,1
95,15662442,Jones,340,France,Male,19,0.0,204844.42061082364,2,99,1,61687.95937167441,0
96,15718420,Jones,726,France,Male,56,4.0,46508.44183442804,2,1,1,139650.31589979195,0
97,15111586,Brown,442,France,Male,58,8.0,47415.83981154847,4,99,1,173472.72858858845,0
98,15961387,Garcia,455,Spain,Male,42,9.0,247023.05166378338,1,99,1,32423.246009755327,1
99,15851041,Lee,483,Germany,Female,51,7.0,79198.7802806775,1,0,0,163703.644572953,1
100,15016138,Williams,608,France,Female,57,5.0,238660.0373051978,2,0,1,31627.949200435236,1
101,15248407,Lee,843,unknown,other,33,4.0,993.9684530117661,3,99,0,102096.4681206567,0
102,15689173,Brown,718,France,other,46,8.0,236310.01165814436,4,0,1,164779.40141178566,0
103,15547044,Garcia,416,France,Male,18,4.0,156677.54890083993,3,1,0,21402.045469710087,1
104,15978234,Kim,597,France,other,40,10.0,43697.701473437584,1,1,1,142396.17633887447,0
105,15765359,Kim,316,Spain,other,55,3.0,48213.93191095784,4,0,1,122503.23107952769,1
106,15691768,Jones,581,Spain,Male,23,2.0,74755.70787735349,3,0,1,152305.19308101962,1
